x,y,HAADF Intensity,SEEBIC Intensity,frame,atom_id,k-means labels,Type,Scaled SEEBIC Intensity
442.42424242424244,199.33333333333334,0.06209202948957682,-2.0926413238048553,0,186,0,W,-0.2509842552318724
221.0,198.0,0.049321545055136085,-2.051491789519787,0,187,1,Se-Se,-0.2098347209468039
69.34782608695652,200.56521739130434,0.05139695783145726,-1.6565242409706116,0,188,1,Se-Se,0.18513282760237137
49.333333333333336,202.5,0.06108854920603335,-1.7523390278220177,0,189,0,W,0.08931804075096528
291.48571428571427,203.6,0.06463548680767417,-2.0554226487874985,0,190,0,W,-0.21376558021451553
310.09090909090907,202.0909090909091,0.050636303378269076,-1.9329719841480255,0,191,1,Se-Se,-0.09131491557504257
140.5,207.2941176470588,0.06421707291156054,-1.850022830069065,0,192,0,W,-0.008365761496082147
160.5,206.83333333333334,0.049717690562829375,-2.021848678588867,0,193,1,Se-Se,-0.18019161001588424
402.5416666666667,206.875,0.054978598142042756,-1.9150447845458984,0,194,1,Se-Se,-0.07338771597291549
382.1034482758621,208.68965517241378,0.059947733068838716,-2.063891723752022,0,196,0,W,-0.22223465517903884
251.92857142857142,210.5,0.049849510891363025,-1.744824267923832,0,197,1,Se-Se,0.09683280064915101
232.32142857142858,212.0,0.06258380273357034,-2.1810878068208694,0,198,0,W,-0.3394307382478865
473.9259259259259,213.59259259259258,0.06753617478534579,-1.986434943974018,0,200,0,W,-0.14477787540103515
100.47619047619048,215.38095238095238,0.0512415140401572,-1.841043271124363,0,201,1,Se-Se,0.0006137974486200015
80.76470588235294,216.88235294117646,0.06193064572289586,-1.7187192887067795,0,202,0,W,0.12293777986620347
342.4761904761905,216.38095238095238,0.05081166164018214,-1.8980657830834389,0,203,1,Se-Se,-0.056408714510455926
321.9259259259259,217.59259259259258,0.060537282610312104,-2.040153346955776,0,204,0,W,-0.19849627838279327
190.5,219.28571428571428,0.05160235124640167,-1.7800023183226585,0,205,1,Se-Se,0.06165475025032441
171.96666666666667,221.9,0.0865911622531712,-1.8529291227459908,0,206,0,W,-0.011272054173007806
414.5,221.5,0.06418717233464122,-2.145391099154949,0,207,0,W,-0.30373403058196624
434.44,220.92,0.055210431572049856,-1.8632154166698456,0,208,1,Se-Se,-0.021558348096862634
40.407407407407405,223.25925925925927,0.05197199713438749,-1.8150824755430222,0,209,1,Se-Se,0.02657459302996079
283.0,224.41666666666666,0.05077232699841261,-1.8059374764561653,0,211,1,Se-Se,0.03571959211681763
263.625,226.15625,0.0657277312129736,-2.044515036046505,0,212,0,W,-0.20285796747352203
373.5,229.0,0.05609008320607245,-1.8836218565702438,0,214,1,Se-Se,-0.04196478799726089
111.93103448275862,230.58620689655172,0.058719190303236246,-2.0255210921168327,0,215,0,W,-0.18386402354384979
354.3030303030303,230.9090909090909,0.0696886908262968,-2.0857963114976883,0,216,0,W,-0.24413924292470535
223.24,233.2,0.05100629758089781,-1.8415493741631508,0,217,1,Se-Se,0.00010769440983215972
203.66666666666666,234.5,0.06716366112232208,-1.9519691839814186,0,218,0,W,-0.11031211540843566
466.0,234.17391304347825,0.053187420591712,-1.9677174165844917,0,219,1,Se-Se,-0.12606034801150878
446.13793103448273,236.3793103448276,0.06158815277740359,-2.281263902783394,0,220,0,W,-0.4396068342104109
73.24,237.2,0.04962526820600033,-1.9121267646551132,0,221,1,Se-Se,-0.07046969608213027
